Ticker,Categoria,Empresa,Nome_Curto,Tipo_Papel,Setor,Industria
ALOS3,Ação,Allos S.A.,ALLOS       ON      NM,ON,Real Estate,Real Estate Services
ABEV3,Ação,Ambev S.A.,AMBEV S/A   ON,ON,Consumer Defensive,Beverages - Brewers
ASAI3,Ação,Sendas Distribuidora S.A.,ASSAI       ON      NM,ON,Consumer Defensive,Grocery Stores
AURE3,Ação,Auren Energia S.A.,AUREN       ON      NM,ON,Utilities,Utilities - Renewable
AXIA3,Ação,AXIA Energia SA,AXIA ENERGIAON      N1,ON,Utilities,Utilities - Renewable
AXIA6,Ação,AXIA Energia SA,AXIA ENERGIAPNB     N1,Outro,Utilities,Utilities - Renewable
AXIA7,Ação,AXIA Energia SA,AXIA ENERGIAPNC     N1,Outro,Utilities,Utilities - Renewable
AZZA3,Ação,Azzas 2154 S.A.,AZZAS 2154  ON      NM,ON,Consumer Cyclical,Footwear & Accessories
B3SA3,Ação,"B3 S.A. - Brasil, Bolsa, Balcão",B3          ON      NM,ON,Financial Services,Financial Data & Stock Exchanges
BBSE3,Ação,BB Seguridade Participações S.A.,BBSEGURIDADEON      NM,ON,Financial Services,Insurance - Diversified
BBDC3,Ação,Banco Bradesco S.A.,BRADESCO    ON      N1,ON,Financial Services,Banks - Regional
BBDC4,Ação,Banco Bradesco S.A.,BRADESCO    PN      N1,PN,Financial Services,Banks - Regional
BRAP4,Ação,Bradespar S.A.,BRADESPAR   PN      N1,PN,Financial Services,Asset Management
BBAS3,Ação,Banco do Brasil S.A.,BRASIL      ON      NM,ON,Financial Services,Banks - Regional
BRKM5,Ação,Braskem S.A.,BRASKEM     PNA     N1,Outro,Basic Materials,Chemicals
BRAV3,Ação,Brava Energia S.A.,BRAVA       ON      NM,ON,Energy,Oil & Gas E&P
BPAC11,Ação,Banco BTG Pactual S.A.,BTGP BANCO  UNT     N2,UNT,Financial Services,Capital Markets
CXSE3,Ação,Caixa Seguridade Participações S.A.,CAIXA SEGURION      NM,ON,Financial Services,Insurance - Diversified
CEAB3,Ação,C&A Modas S.A.,CEA MODAS   ON      NM,ON,Consumer Cyclical,Specialty Retail
CMIG4,Ação,Companhia Energética de Minas Gerais - CEMIG,CEMIG       PN      N1,PN,Utilities,Utilities - Diversified
COGN3,Ação,Cogna Educação S.A.,COGNA ON    ON      NM,ON,Consumer Defensive,Education & Training Services
CSMG3,Ação,Companhia de Saneamento de Minas Gerais,COPASA      ON      NM,ON,Utilities,Utilities - Regulated Water
CPLE3,Ação,Companhia Paranaense de Energia - COPEL,COPEL       ON      NM,ON,Utilities,Utilities - Regulated Electric
CSAN3,Ação,Cosan S.A.,COSAN       ON      NM,ON,Energy,Oil & Gas Refining & Marketing
CPFE3,Ação,CPFL Energia S.A.,CPFL ENERGIAON      NM,ON,Utilities,Utilities - Regulated Electric
CMIN3,Ação,CSN Mineração S.A.,CSNMINERACAOON      N2,ON,Basic Materials,Steel
CURY3,Ação,Cury Construtora e Incorporadora S.A.,CURY S/A    ON      NM,ON,Real Estate,Real Estate - Development
CYRE3,Ação,Cyrela Brazil Realty S.A. Empreendimentos e Participações,CYRELA REALTON      NM,ON,Consumer Cyclical,Residential Construction
CYRE4,Ação,Cyrela Brazil Realty S.A. Empreendimentos e Participações,CYRELA REALTPN      NM,PN,Consumer Cyclical,Residential Construction
DIRR3,Ação,Direcional Engenharia S.A.,DIRECIONAL  ON      NM,ON,Real Estate,Real Estate - Development
EMBJ3,Ação,Embraer S.A.,EMBRAER     ON  ATZ NM,ON,Industrials,Aerospace & Defense
ENGI11,Ação,Energisa S.A.,ENERGISA    UNT     N2,UNT,Utilities,Utilities - Regulated Electric
ENEV3,Ação,Eneva S.A.,ENEVA       ON      NM,ON,Utilities,Utilities - Diversified
EGIE3,Ação,Engie Brasil Energia S.A.,ENGIE BRASILON      NM,ON,Utilities,Utilities - Renewable
EQTL3,Ação,Equatorial S.A.,EQUATORIAL  ON      NM,ON,Utilities,Utilities - Regulated Electric
FLRY3,Ação,Fleury S.A.,FLEURY      ON      NM,ON,Healthcare,Diagnostics & Research
GGBR4,Ação,Gerdau S.A.,GERDAU      PN  ED  N1,PN,Basic Materials,Steel
GOAU4,Ação,Metalurgica Gerdau S.A.,GERDAU MET  PN  ED  N1,PN,Basic Materials,Steel
HAPV3,Ação,Hapvida Participações e Investimentos S.A.,HAPVIDA     ON  ATZ NM,ON,Financial Services,Insurance - Life
HYPE3,Ação,Hypera S.A.,HYPERA      ON      NM,ON,Healthcare,Drug Manufacturers - Specialty & Generic
IGTI11,Ação,Iguatemi S.A.,IGUATEMI S.AUNT     N1,UNT,Real Estate,Real Estate Services
IRBR3,Ação,IRB-Brasil Resseguros S.A.,IRBBRASIL REON      NM,ON,Financial Services,Insurance - Reinsurance
ISAE4,Ação,ISA Energía Brasil S.A.,ISA ENERGIA PN  ED  N1,PN,Utilities,Utilities - Independent Power Producers
ITSA4,Ação,Itaúsa S.A.,ITAUSA      PN  EJ  N1,PN,Industrials,Conglomerates
ITUB4,Ação,Itaú Unibanco Holding S.A.,ITAUUNIBANCOPN      N1,PN,Financial Services,Banks - Regional
KLBN11,Ação,Klabin S.A.,KLABIN S/A  UNT     N2,UNT,Basic Materials,Paper & Paper Products
RENT3,Ação,Localiza Rent a Car S.A.,LOCALIZA    ON      NM,ON,Industrials,Rental & Leasing Services
RENT4,Ação,Localiza Rent a Car S.A.,LOCALIZA    PN      NM,PN,Industrials,Rental & Leasing Services
LREN3,Ação,Lojas Renner S.A.,LOJAS RENNERON      NM,ON,Consumer Cyclical,Department Stores
MGLU3,Ação,Magazine Luiza S.A.,MAGAZ LUIZA ON      NM,ON,Consumer Cyclical,Specialty Retail
