Codigo,Empresa,Setor,Industria
ALOS3,Allos S.A.,Real Estate,Real Estate Services
ABEV3,Ambev S.A.,Consumer Defensive,Beverages - Brewers
ASAI3,Sendas Distribuidora S.A.,Consumer Defensive,Grocery Stores
AURE3,Auren Energia S.A.,Utilities,Utilities - Renewable
AXIA3,AXIA Energia SA,Utilities,Utilities - Renewable
AXIA6,AXIA Energia SA,Utilities,Utilities - Renewable
AXIA7,AXIA Energia SA,Utilities,Utilities - Renewable
AZZA3,Azzas 2154 S.A.,Consumer Cyclical,Footwear & Accessories
B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Financial Data & Stock Exchanges
BBSE3,BB Seguridade Participações S.A.,Financial Services,Insurance - Diversified
BBDC3,Banco Bradesco S.A.,Financial Services,Banks - Regional
BBDC4,Banco Bradesco S.A.,Financial Services,Banks - Regional
BRAP4,Bradespar S.A.,Financial Services,Asset Management
BBAS3,Banco do Brasil S.A.,Financial Services,Banks - Regional
BRKM5,Braskem S.A.,Basic Materials,Chemicals
BRAV3,Brava Energia S.A.,Energy,Oil & Gas E&P
BPAC11,Banco BTG Pactual S.A.,Financial Services,Capital Markets
CXSE3,Caixa Seguridade Participações S.A.,Financial Services,Insurance - Diversified
CEAB3,C&A Modas S.A.,Consumer Cyclical,Specialty Retail
CMIG4,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified
COGN3,Cogna Educação S.A.,Consumer Defensive,Education & Training Services
CSMG3,Companhia de Saneamento de Minas Gerais,Utilities,Utilities - Regulated Water
CPLE3,Companhia Paranaense de Energia - COPEL,Utilities,Utilities - Regulated Electric
CSAN3,Cosan S.A.,Energy,Oil & Gas Refining & Marketing
CPFE3,CPFL Energia S.A.,Utilities,Utilities - Regulated Electric
CMIN3,CSN Mineração S.A.,Basic Materials,Steel
CURY3,Cury Construtora e Incorporadora S.A.,Real Estate,Real Estate - Development
CYRE3,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Consumer Cyclical,Residential Construction
CYRE4,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Consumer Cyclical,Residential Construction
DIRR3,Direcional Engenharia S.A.,Real Estate,Real Estate - Development
EMBJ3,Embraer S.A.,Industrials,Aerospace & Defense
ENGI11,Energisa S.A.,Utilities,Utilities - Regulated Electric
ENEV3,Eneva S.A.,Utilities,Utilities - Diversified
EGIE3,Engie Brasil Energia S.A.,Utilities,Utilities - Renewable
EQTL3,Equatorial S.A.,Utilities,Utilities - Regulated Electric
FLRY3,Fleury S.A.,Healthcare,Diagnostics & Research
GGBR4,Gerdau S.A.,Basic Materials,Steel
GOAU4,Metalurgica Gerdau S.A.,Basic Materials,Steel
HAPV3,Hapvida Participações e Investimentos S.A.,Financial Services,Insurance - Life
HYPE3,Hypera S.A.,Healthcare,Drug Manufacturers - Specialty & Generic
IGTI11,Iguatemi S.A.,Real Estate,Real Estate Services
IRBR3,IRB-Brasil Resseguros S.A.,Financial Services,Insurance - Reinsurance
ISAE4,ISA Energía Brasil S.A.,Utilities,Utilities - Independent Power Producers
ITSA4,Itaúsa S.A.,Industrials,Conglomerates
ITUB4,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional
KLBN11,Klabin S.A.,Basic Materials,Paper & Paper Products
RENT3,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services
RENT4,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores
MGLU3,Magazine Luiza S.A.,Consumer Cyclical,Specialty Retail
POMO4,Marcopolo S.A.,Industrials,Farm & Heavy Construction Machinery
MBRF3,MBRF Global Foods Company S.A.,Consumer Defensive,Packaged Foods
BEEF3,Minerva S.A.,Consumer Defensive,Farm Products
MOTV3,Motiva Infraestrutura de Mobilidade S.A.,Industrials,Infrastructure Operations
MRVE3,MRV Engenharia e Participações S.A.,Real Estate,Real Estate - Development
MULT3,Multiplan Empreendimentos Imobiliários S.A.,Real Estate,Real Estate Services
NATU3,Natura Cosméticos S.A.,Consumer Defensive,Household & Personal Products
PETR3,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated
PETR4,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated
RECV3,Petroreconcavo S.A.,Energy,Oil & Gas E&P
PRIO3,Prio S.A.,Energy,Oil & Gas E&P
PSSA3,Porto Seguro S.A.,Financial Services,Insurance - Diversified
RADL3,Raia Drogasil S.A.,Healthcare,Pharmaceutical Retailers
RDOR3,Rede D'Or São Luiz S.A.,Healthcare,Medical Care Facilities
RAIL3,Rumo S.A.,Industrials,Railroads
SBSP3,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Utilities,Utilities - Regulated Water
SANB11,Banco Santander (Brasil) S.A.,Financial Services,Banks - Regional
CSNA3,Companhia Siderúrgica Nacional,Basic Materials,Steel
SLCE3,SLC Agrícola S.A.,Consumer Defensive,Farm Products
SMFT3,Smartfit Escola de Ginástica e Dança S.A.,Consumer Cyclical,Leisure
SUZB3,Suzano S.A.,Basic Materials,Paper & Paper Products
TAEE11,Transmissora Aliança de Energia Elétrica S.A.,Utilities,Utilities - Regulated Electric
VIVT3,Telefônica Brasil S.A.,Communication Services,Telecom Services
TIMS3,TIM S.A.,Communication Services,Telecom Services
TOTS3,TOTVS S.A.,Technology,Software - Application
UGPA3,Ultrapar Participações S.A.,Energy,Oil & Gas Refining & Marketing
USIM5,Usinas Siderúrgicas de Minas Gerais S.A.,Basic Materials,Steel
VALE3,Vale S.A.,Basic Materials,Other Industrial Metals & Mining
VAMO3,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",Industrials,Rental & Leasing Services
VBBR3,Vibra Energia S.A.,Consumer Cyclical,Specialty Retail
VIVA3,Vivara Participações S.A.,Consumer Cyclical,Luxury Goods
WEGE3,WEG S.A.,Industrials,Electrical Equipment & Parts
YDUQ3,Yduqs Participações S.A.,Consumer Defensive,Education & Training Services
CACR11,Supernova Fundo De Investimento Imobiliario - Recebiveis Imobiliarios,Real Estate,REIT - Diversified
AFHI11,Af Invest Cri Fundo De Investimento Imobiliario - Recebiveis Imobiliarios,Real Estate,REIT - Diversified
ALZR11,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,Real Estate,Real Estate Services
RZAT11,Riza Arctium Real Estate Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
FATN11,BRC Renda Corporativa FII - FII Athena I,Real Estate,REIT - Specialty
AZPL11,AZPL11,Real Estate,REIT - Industrial
BBIG11,Bb Premium Malls Fundo De Investimento Imobiliário De Responsabilidade Limitada,Real Estate,REIT - Retail
BRCR11,Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund,Real Estate,REIT - Office
BCIA11,Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario,Real Estate,REIT - Diversified
BCRI11,Banestes Recebiveis Imobiliarios Fundo Investimento Imobiliario FII,Real Estate,REIT - Diversified
BLMG11,Bluemacaw Logastica Fundo De Investimento ImobiliaRio,Real Estate,REIT - Industrial
BRCO11,Bresco - Fundo De Investimento Imobiliario,Real Estate,REIT - Industrial
BROF11,Brpr Corporate Offices Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
BTAL11,FII Btg Pactual Agro Logistica,Real Estate,REIT - Industrial
BTCI11,Fundo Infestimento Imobiliario Btg Pactual Credito Imobiliario,Financial Services,Asset Management
BPML11,Fundo De Investimento Imobiliario BTG Pactual Shoppings,Real Estate,REIT - Retail
BTHF11,Btg Pactual Real Estate Hedge Fund Fii Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
BTLG11,BTG Pactual Logística Fundo de Investimento Imobiliário,Real Estate,REIT - Industrial
CCME11,Canuma Capital Multiestrategia Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
CPTS11,Capitania Securities II Fundo Investimento Imobiliario FII,Real Estate,REIT - Diversified
ICRI11,ICRI11,Real Estate,REIT - Diversified
CLIN11,Clave Indices De Precos Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
CPSH11,Capitania Shoppings Fundo De Investimento Imobiliario,Real Estate,REIT - Retail
CYCR11,Cyrela Credito - Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
DEVA11,Devant Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
VRTA11,Fator Veritá Fundo de Investimento Imobiliário - FII,Real Estate,REIT - Diversified
GTWR11,Fundo Investimento Imobiliario Green Towers,Real Estate,REIT - Office
GZIT11,Gazit Malls Fundo De Investimento Imobiliario,Real Estate,REIT - Specialty
GGRC11,Ggr Covipe Renda Fundo Investimento Imobiliario,Real Estate,REIT - Industrial
GRUL11,Icatu Vanguarda Gru Logistico Fundo De Investimento Imobiliario Responsabilidade Limitada,Real Estate,REIT - Diversified
GARE11,Guardian Logistica Fundo De Investimento Imobiliario,Real Estate,REIT - Specialty
HABT11,Habitat Ii - Fundo De Investimento Imobiliario,Financial Services,Asset Management
HCTR11,Fundo De Investimento Imobiliario Hectare Ce,Financial Services,Asset Management
HGBS11,HEDGE Brasil Shopping Fundo de Investimento Imobiliário,Real Estate,REIT - Retail
HGCR11,CSHG Recebiveis Imobiliarios BC Fundo de Investimento Imobiliario - FII,Real Estate,REIT - Diversified
HGLG11,Cshg Logistica - Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
HGRE11,CSHG Real Estate - Fundo de Investimento Imobiliario - FII,Real Estate,REIT - Diversified
HGRU11,Patria Renda Urbana - Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
HTMX11,FD Invest Imob Hotel Maxinvest,Real Estate,REIT - Hotel & Motel
HSAF11,Hsi Ativos Financeiros Fundos Investimentos Imoliarios,Real Estate,REIT - Diversified
HSLG11,Hsi Logistica Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
HSML11,Hsi Malls Fundo De Investimento Imobiliario,Financial Services,Asset Management
HFOF11,Hedge Top Fofii 3 Fundo Investimento Imobilirio,Real Estate,REIT - Specialty
ITRI11,Itau Total Return Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
JSAF11,Js Ativos Financeiros Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
JSRE11,JS Real Estate multigestão - FII fund,Financial,REIT - Diversified
JSCR11,JSCR11,Real Estate,REIT - Diversified
KISU11,Kilima Fundo De Investimento Em Cotas De Fundos Imobiliarios Suno 30,Real Estate,REIT - Diversified
KNRI11,Kinea Renda Imobiliária Fundo de Investimento Imobiliário,Financial,REIT - Diversified
KCRE11,Kinea Creditas Fundo De Investimento Imobiliario - FII,Real Estate,REIT - Specialty
KNHF11,Kinea Hedge Fund Fundo De Investimento Imobiliario,Financial Services,Asset Management
KNHY11,Kinea High Yield Cri Fundo Investimento Imobiliario FII,Financial Services,Asset Management
KNIP11,Kinea Indices Precos Fundo Investimento Imobiliario - FII,Real Estate,REIT - Diversified
KNCR11,Kinea Rendimentos Imobiliários Fundo de Investimento Imobiliário - FII,Real Estate,REIT - Mortgage
KNSC11,Kinea Securities Fundo De Investimento Imobiliario – Fii,Real Estate,REIT - Residential
KNUQ11,KNUQ11,Real Estate,REIT - Diversified
KFOF11,Kinea Fundo Fundos De Investimento Imobiliario FII,Financial Services,Asset Management
KIVO11,Kilima Volkano Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
KORE11,Kinea Oportunidades Real Estate Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
LIFE11,Life Capital Partners Fundo De Investimentos Imobiliarios,Real Estate,REIT - Diversified
LVBI11,Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund,Real Estate,Real Estate Services
MANA11,Manati Capital Hedge Fund Fundo De Investimento Imobiliario,Real Estate,REIT - Specialty
MCCI11,Fundo De Investimento Imobiliario Maua Capital Recebiveis Imobiliarios,Real Estate,REIT - Diversified
MCRE11,Maua Capital Real Estate Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
MXRF11,Maxi Renda Fundo De Investimento Imobiliaro - FII,Real Estate,REIT - Diversified
MFII11,Mérito Desenvolvimento Imobiliário I FII - Fundo de Investimento Imobiliário,Real Estate,REIT - Diversified
OUJP11,Ourinvest Jpp Fundo Investimento Imobiliario - Fii,Real Estate,REIT - Diversified
PATL11,Patria Logistica Fundo De Investimento Imobiliario,Real Estate,REIT - Industrial
PCIP11,Fundo De Investimento Imobiliario VBI Credito,Real Estate,REIT - Residential
PMIS11,Paramis Hedge Fund Fundo De Investimento Imobiliario - Fii,Real Estate,REIT - Specialty
PMLL11,Patria Malls Fundo De Investimento Imobiliario,Real Estate,REIT - Retail
PORD11,Polo Fundo de Investimento Imobiliário - Recebíveis Imobiliários II - FII,Real Estate,REIT - Diversified
PSEC11,Patria Securities Fundo De Investimento Imobiliário - Responsabilidade Limitada,Real Estate,REIT - Diversified
PVBI11,Fundo De Investimento ImobiliarRio Vbi Prime Properties,Real Estate,REIT - Diversified
RPRI11,RBR Premium Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Real Estate,REIT - Specialty
RBRL11,RBR Log FII,Financial Services,Asset Management
RBRP11,Fundo Investimento Imobiliario Rbr Properties Fii,Financial Services,Asset Management
RBRR11,Fundo Investimento Imobiliario - FII RBR Rendimento High Grade,Financial Services,Asset Management
RBRX11,Rbr Alpha Plus Multiestrategia Real Estate Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
RBRY11,Fundo Investimeto Imobiliario Rbr Private Credito Imobiliario,Financial Services,Asset Management
RECR11,Fundo Investimento Imobiliario Fii Ubs (Br) Recebveis Imobiliarios,Real Estate,REIT - Diversified
RECT11,Fundo De Investimento Imobiliario - FII UBS Office,Financial Services,Asset Management
RBFM11,RBFM11,Real Estate,REIT - Mortgage
RCRB11,Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,,
RBVA11,Fundo Invest Imobiliario Agencias Caixa - FII Fund,Financial,Asset Management
RZAK11,Riza Akin Fundo De Investimento Imobiliario – FII,Real Estate,REIT - Diversified
RZTR11,Fundo De Investimento Imobiliario Riza Terrax,Real Estate,REIT - Diversified
TRBL11,SDI Logística Rio - Fundo de Investimento Imobiliário - FII,Real Estate,REIT - Industrial
SPXS11,Fundo De Investimento Imobiliario - Spx Syn Multiestrategia,Real Estate,REIT - Diversified
SNCI11,Suno Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Industrials,Consulting Services
SNEL11,Fundo De Investimento Imobiliario Suno Energias Limpas,Real Estate,REIT - Specialty
SNFF11,Suno Fundo De Fundos De Investimento Imobiliario,Real Estate,REIT - Diversified
TEPP11,SDI Properties Fundo De Investimento Imobiliario,Real Estate,REIT - Residential
TGAR11,Fundo Investimento Imobiliario TG Ativo Real,Real Estate,REIT - Diversified
TVRI11,BB Progressivo II Fundo de Investimento Imobiliário - FII,Real Estate,REIT - Diversified
TOPP11,Rbr Top Offices Fundo De Investimento Imobiliario Responsabilidade Limitada,Real Estate,REIT - Diversified
TRXF11,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Real Estate,REIT - Diversified
URPR11,Urca Prime Renda Fundo De Investimento Imobiliario - FII,Real Estate,REIT - Residential
VGHF11,Valora Hedge Fund Fundo De Investimento Imobiliario - Fii,Real Estate,REIT - Diversified
VGIP11,Valora Cri Indice De Preco Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
VGIR11,Valora Re III Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
VCJR11,Vectis Juros Real Fundo De Investimento Imobiliario - Fii,Real Estate,REIT - Diversified
VGRI11,Valora Renda Imobiliaria Fundo De Investimento Imobiliario - Responsabilidade Limitada,Real Estate,REIT - Diversified
VIUR11,Vinci Imoveis Urbanos Fundo De Investimento Imobiliario,Real Estate,REIT - Diversified
VILG11,Vinci Logistica Fundo Investimento Imobiliario FII,Financial Services,Asset Management
VINO11,Vinci Corporate Fundo De Investimento Imobiliario,Real Estate,REIT - Office
VISC11,Vinci Shopping Centers Fundo Investimento Imobiliario - Fii,Real Estate,REIT - Retail
VRTM11,VRTM11,Real Estate,REIT - Diversified
WHGR11,Whg Real Estate Fundo De Investimento Imobiliario – Fii,Real Estate,REIT - Specialty
XPCI11,Xp Credito Imobiliario ae Fundo De Investimento Imobiliario,Real Estate,REIT - Mortgage
XPLG11,Xp Log Fundo Investimento Imobiliario FII,Real Estate,REIT - Industrial
XPML11,Xp Malls Fundo Investimentos Imobiliarios,Real Estate,REIT - Retail
XPSF11,XP Selection Fundo De Fundos De Investimento Imobiliario - FII,Real Estate,REIT - Mortgage
