Date,Codigo,Valor_Dividendo
2020-01-02,B3SA3,0.117948
2020-01-02,CEAB3,0.253477
2020-01-02,CPTS11,0.63
2020-01-02,ITUB4,0.013239
2020-01-02,MGLU3,0.079701
2020-01-02,MULT3,0.150887
2020-01-02,TGAR11,1.35
2020-01-02,VIVT3,0.374869
2020-01-03,BBDC3,0.012959
2020-01-03,BBDC4,0.014255
2020-01-03,FLRY3,0.106066
2020-01-06,HAPV3,0.479064
2020-01-06,SANB11,2.091569
2020-01-07,BPAC11,0.155105
2020-01-10,BBSE3,1.352298
2020-01-20,TIMS3,0.102353
2020-02-03,CPTS11,0.65
2020-02-03,ITUB4,0.013239
2020-02-03,TGAR11,0.57
2020-02-04,BBDC3,0.012959
2020-02-04,BBDC4,0.014255
2020-02-11,KLBN11,0.01964
2020-02-14,BBSE3,1.910841
2020-02-18,BBDC3,0.043736
2020-02-18,BBDC4,0.04811
2020-02-21,ITSA4,0.338451
2020-02-21,ITUB4,0.888526
2020-02-26,BBAS3,0.219441
2020-02-26,WEGE3,0.083881
2020-02-27,FLRY3,0.588691
2020-02-28,ENGI11,0.290909
2020-02-28,POMO4,0.036364
2020-02-28,UGPA3,0.110574
2020-03-02,GGBR4,0.02381
2020-03-02,GOAU4,0.015
2020-03-02,ITSA4,0.015266
2020-03-02,ITUB4,0.013239
2020-03-02,TGAR11,0.7
2020-03-02,VIVT3,0.074974
2020-03-03,BBDC3,0.012959
2020-03-03,BBDC4,0.014255
2020-03-12,BBAS3,0.09071
2020-03-16,CPTS11,0.65
2020-03-16,RENT3,0.088402
2020-03-20,LREN3,0.060376
2020-03-23,WEGE3,0.015118
2020-03-24,POMO4,0.018939
2020-03-26,B3SA3,0.209965
2020-03-26,CSMG3,0.34277
2020-03-27,RADL3,0.026862
2020-03-30,HYPE3,0.290947
2020-04-01,ITUB4,0.013239
2020-04-01,PSSA3,0.984438
2020-04-01,TGAR11,0.82
2020-04-01,VIVT3,0.041652
2020-04-02,BBDC3,0.012959
2020-04-02,BBDC4,0.014255
2020-04-08,BRCR11,0.485365
2020-04-14,RADL3,0.011528
2020-04-16,CPTS11,0.65
2020-04-17,ISAE4,0.228164
2020-04-27,YDUQ3,0.509723
2020-04-28,TOTS3,0.043275
2020-04-29,HAPV3,0.049452
2020-04-29,SBSP3,1.334911
2020-04-29,USIM5,0.04345
2020-04-30,LREN3,0.016242
2020-05-04,ITUB4,0.013239
2020-05-04,TGAR11,0.8
2020-05-05,BBDC3,0.014255
2020-05-05,BBDC4,0.015681
2020-05-07,CSNA3,0.008871
2020-05-07,TAEE11,0.179281
2020-05-08,SANB11,0.238797
2020-05-11,BRCR11,0.425933
2020-05-18,CPTS11,0.65
2020-05-20,TAEE11,0.7017
2020-05-29,VIVT3,0.609669
2020-06-01,ITSA4,0.015266
2020-06-01,ITUB4,0.013239
2020-06-01,TGAR11,1.25
2020-06-02,BBDC3,0.014255
2020-06-02,BBDC4,0.015681
2020-06-04,CSAN3,0.374438
2020-06-08,BRCR11,0.425933
2020-06-16,CPTS11,0.65
2020-06-24,CSMG3,0.115765
2020-06-24,LREN3,0.057882
2020-06-24,RENT3,0.085632
2020-06-26,RADL3,0.028005
2020-06-29,HYPE3,0.290502
2020-06-29,WEGE3,0.019118
2020-06-30,PSSA3,0.298399
2020-07-01,B3SA3,0.048932
2020-07-01,ITUB4,0.013239
2020-07-01,TGAR11,1.23
2020-07-01,VIVT3,0.249913
2020-07-02,BBDC3,0.014255
2020-07-02,BBDC4,0.015681
2020-07-07,ISAE4,0.151772
2020-07-08,BRCR11,0.43
2020-07-15,CPTS11,0.67
2020-07-20,EQTL3,0.317424
2020-07-23,BPAC11,0.147362
2020-07-23,PETR3,0.239895
2020-07-23,PETR4,0.000461
2020-07-24,CYRE3,0.256908
2020-07-27,WEGE3,0.063401
2020-07-28,CPFE3,1.800973
2020-07-30,AXIA3,1.625384
