IBOV - Carteira do Dia 23/03/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;466.135.796;0,525;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,417;
ASAI3;ASSAI;ON      NM;1.338.601.375;0,385;
AURE3;AUREN;ON      NM;318.338.365;0,141;
AXIA3;AXIA ENERGIA;ON      N1;1.945.846.761;4,232;
AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,646;
AXIA7;AXIA ENERGIA;PNC     N1;582.580.795;1,214;
AZZA3;AZZAS 2154;ON      NM;132.447.688;0,138;
B3SA3;B3;ON      NM;5.196.371.458;3,288;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,821;
BBDC3;BRADESCO;ON      N1;1.467.570.789;0,907;
BBDC4;BRADESCO;PN      N1;5.106.488.516;3,658;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,209;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,585;
BRKM5;BRASKEM;PNA     N1;265.876.767;0,106;
BRAV3;BRAVA;ON      NM;462.883.017;0,306;
BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,896;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,407;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,090;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,911;
COGN3;COGNA ON;ON      NM;1.914.692.857;0,210;
CSMG3;COPASA;ON      NM;188.467.895;0,394;
CPLE3;COPEL;ON      NM;1.709.534.925;0,991;
CSAN3;COSAN;ON      NM;1.802.521.475;0,359;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,335;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,306;
CURY3;CURY S/A;ON      NM;160.988.231;0,208;
CYRE3;CYRELA REALT;ON      NM;256.055.995;0,251;
CYRE4;CYRELA REALT;PN      NM;48.543.949;0,044;
DIRR3;DIRECIONAL;ON      NM;325.640.184;0,171;
EMBJ3;EMBRAER;ON  ATZ NM;722.766.139;2,043;
ENGI11;ENERGISA;UNT     N2;358.053.350;0,684;
ENEV3;ENEVA;ON      NM;1.912.889.086;1,868;
EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,437;
EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,955;
FLRY3;FLEURY;ON      NM;447.150.822;0,261;
GGBR4;GERDAU;PN      N1;1.263.524.206;0,862;
GOAU4;GERDAU MET;PN      N1;830.615.826;0,254;
HAPV3;HAPVIDA;ON  ATZ NM;287.507.905;0,100;
HYPE3;HYPERA;ON      NM;329.017.784;0,285;
IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,213;
IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,172;
ISAE4;ISA ENERGIA;PN  ED  N1;395.801.044;0,421;
ITSA4;ITAUSA;PN  EJ  N1;5.970.522.444;3,057;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.027.870.728;8,165;
KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,570;
RENT3;LOCALIZA;ON      NM;977.042.684;1,650;
RENT4;LOCALIZA;PN      NM;37.577.993;0,060;
LREN3;LOJAS RENNER;ON      NM;981.927.306;0,570;
MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,122;
POMO4;MARCOPOLO;PN      N2;727.730.867;0,164;
MBRF3;MARFRIG;ON  ATZ NM;767.248.368;0,498;
BEEF3;MINERVA;ON      NM;439.073.587;0,062;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,579;
MRVE3;MRV;ON  ATZ NM;374.670.758;0,105;
MULT3;MULTIPLAN;ON      N2;320.022.221;0,374;
NATU3;NATURA;ON      NM;838.359.453;0,302;
PETR3;PETROBRAS;ON      N2;2.943.171.983;5,791;
PETR4;PETROBRAS;PN      N2;4.410.960.450;7,874;
RECV3;PETRORECSA;ON      NM;274.630.892;0,136;
PRIO3;PETRORIO;ON      NM;762.017.253;2,022;
PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,336;
RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,152;
RDOR3;REDE D OR;ON      NM;1.091.469.308;1,588;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,769;
SBSP3;SABESP;ON  EJB NM;622.445.665;3,613;
SANB11;SANTANDER BR;UNT;360.347.199;0,412;
CSNA3;SID NACIONAL;ON;727.975.012;0,170;
SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,159;
SMFT3;SMART FIT;ON      NM;467.471.342;0,331;
SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,202;
TAEE11;TAESA;UNT     N2;218.568.234;0,349;
VIVT3;TELEF BRASIL;ON;738.065.812;1,162;
TIMS3;TIM;ON      NM;804.628.136;0,822;
TOTS3;TOTVS;ON      NM;533.980.424;0,709;
UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,096;
USIM5;USIMINAS;PNA     N1;515.117.999;0,127;
VALE3;VALE;ON      NM;3.688.870.616;10,893;
VAMO3;VAMOS;ON      NM;448.052.066;0,056;
VBBR3;VIBRA;ON      NM;1.192.531.648;1,355;
VIVA3;VIVARA S.A.;ON      NM;123.177.361;0,123;
WEGE3;WEG;ON  EJ  NM;1.485.954.732;2,665;
YDUQ3;YDUQS PART;ON      NM;261.365.845;0,104;
Quantidade Teórica Total;;;91.261.531.350;100,000
Redutor;;;14.518.695,34749441
