IFIX - Carteira do Dia 23/03/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
CACR11;CARTESIA FII;CI;4.836.324;0,257;
AFHI11;FII AFHI CRI;CI  ER;5.405.688;0,341;
ALZR11;FII ALIANZA;CI  ER;172.266.249;1,209;
RZAT11;FII ARCTIUM;CI  ER;4.235.042;0,254;
FATN11;FII ATHENA I;CI;5.160.005;0,297;
AZPL11;FII AZPL;CI;41.922.689;0,214;
BBIG11;FII BBIG;CI;99.120.994;0,462;
BRCR11;FII BC FUND;CI;26.638.202;0,833;
BCIA11;FII BCIA;CI;3.719.038;0,228;
BCRI11;FII BEES CRI;CI;6.257.873;0,263;
BLMG11;FII BLUE LOG;CI;4.674.548;0,105;
BRCO11;FII BRESCO;CI;15.905.133;1,259;
BROF11;FII BROF;CI  ER;11.610.812;0,464;
BTAL11;FII BTG AGRO;CI  ER;5.982.736;0,360;
BTCI11;FII BTG CRI;CI;99.521.172;0,610;
BPML11;FII BTG SHOP;CI  ER;7.441.745;0,460;
BTHF11;FII BTHF;CI;205.846.940;1,272;
BTLG11;FII BTLG;CI  ER;53.310.352;3,659;
CCME11;FII CANUMA;CI;67.797.053;0,399;
CPTS11;FII CAPI SEC;CI  ER;328.558.329;1,736;
ICRI11;FII CI IPCA;CI;3.857.359;0,253;
CLIN11;FII CLAVE IN;CI;4.346.763;0,265;
CPSH11;FII CPSH;CI  ER;79.699.818;0,566;
CYCR11;FII CYRELA;CI;36.549.445;0,219;
DEVA11;FII DEVANT;CI;14.044.908;0,218;
VRTA11;FII FATOR VE;CI;15.592.424;0,800;
GTWR11;FII G TOWERS;CI;12.000.000;0,679;
GZIT11;FII GAZIT;CI;21.841.231;0,669;
GGRC11;FII GGRCOVEP;CI;214.249.664;1,445;
GRUL11;FII GRUL;CI;24.700.000;0,140;
GARE11;FII GUARDIAN;CI;147.458.223;0,817;
HABT11;FII HABIT II;CI;8.126.783;0,412;
HCTR11;FII HECTARE;CI;22.084.202;0,297;
HGBS11;FII HEDGEBS;CI;129.133.010;1,748;
HGCR11;FII HGCR PAX;CI;15.418.106;0,984;
HGLG11;FII HGLG PAX;CI;42.404.675;4,390;
HGRE11;FII HGRE PAX;CI;11.817.767;0,984;
HGRU11;FII HGRU PAX;CI;23.238.024;2,002;
HTMX11;FII HOTEL MX;CI;2.888.094;0,263;
HSAF11;FII HSI CRI;CI;2.526.360;0,134;
HSLG11;FII HSI LOG;CI;12.660.067;0,781;
HSML11;FII HSI MALL;CI;21.329.976;1,352;
HFOF11;FII HTOPFOF3;CI;230.460.000;1,050;
ITRI11;FII ITRI;CI;6.250.000;0,353;
JSAF11;FII JS A FIN;CI;77.523.290;0,396;
